"Carimbo de data/hora","Estou ciente e permito que meus dados desse formulário sejam utilizados, de forma anônima, no minicurso de python oferecido pelo CAECA.  ","Você sabe programar? ","Qual seu nível de conhecimento com programação? (0 - nenhum, 1 - pequeno, ..., 5 - alto)","Você conhece a linguagem de programação python?","Você já utilizou a linguagem de programação python?","Existe python instalado no computador que está utilizando? (Na dúvida, execute no terminal ""python --version"")","Qual o Sistema Operacional que você está utilizando? (Windows, Linux, macOS, etc)"
"2021/02/12 3:52:34 PM GMT-3","Sim","Sim","3","Sim","Sim","Sim","Windows"
"2021/02/12 4:01:05 PM GMT-3","Sim","Sim","2","Sim","Não","Não","Windows"
"2021/02/12 4:02:59 PM GMT-3","Sim","Sim","4","Sim","Sim","Sim","Windows"
"2021/02/12 4:04:11 PM GMT-3","Sim","Sim","3","Sim","Não","Não","Windows"
"2021/02/12 4:04:17 PM GMT-3","Sim","Não","0","Não","Não","Sim","Windows"
"2021/02/12 4:06:10 PM GMT-3","Sim","Sim","3","Sim","Sim","Sim","Windows"
"2021/02/12 4:06:29 PM GMT-3","Sim","Sim","4","Sim","Sim","Sim","Windows"
"2021/02/12 4:10:06 PM GMT-3","Sim","Sim","3","Não","Não","Sim","Windows"
"2021/02/12 4:10:34 PM GMT-3","Sim","Sim","4","Sim","Sim","Sim","Windows"
"2021/02/12 4:10:46 PM GMT-3","Sim","Sim","3","Sim","Sim","Sim","Windows"
"2021/02/12 4:10:53 PM GMT-3","Sim","Sim","1","Sim","Sim","Não","Windows"
"2021/02/12 4:11:19 PM GMT-3","Sim","Sim","4","Sim","Sim","Sim","windowa"
"2021/02/12 4:11:20 PM GMT-3","Sim","Não","2","Não","Não","Sim","Linux"
"2021/02/12 4:11:20 PM GMT-3","Sim","Sim","3","Sim","Sim","Sim","Windows"
"2021/02/12 4:11:28 PM GMT-3","Sim","Sim","4","Sim","Sim","Sim","Linux"
"2021/02/12 4:11:39 PM GMT-3","Sim","Não","2","Não","Não","Sim","Windows"
"2021/02/12 4:13:31 PM GMT-3","Sim","Não","0","Não","Não","Não","Windows"
"2021/02/12 4:16:52 PM GMT-3","Sim","Sim","3","Sim","Sim","Sim","Windows"
"2021/02/12 4:17:28 PM GMT-3","Sim","Sim","4","Sim","Sim","Sim","Windows 10"
"2021/02/12 4:18:19 PM GMT-3","Sim","Sim","4","Sim","Não","Não","Windows"
"2021/02/12 4:19:36 PM GMT-3","Sim","Sim","3","Não","Não","Não","Windows"
"2021/02/12 4:19:56 PM GMT-3","Sim","Sim","2","Sim","Sim","Sim","Linux"
"2021/02/12 4:20:21 PM GMT-3","Sim","Sim","3","Não","Não","Sim","Windows 10"
"2021/02/12 4:20:46 PM GMT-3","Sim","Sim","3","Sim","Sim","Sim","Windows"
"2021/02/12 4:24:37 PM GMT-3","Sim","Sim","4","Sim","Não","Não","Windows"
